seed,missing_groups,calib_policy,deploy_policy,acc,crc_feasible,temperature,crc_threshold,crc_calibration_selection_stat,crc_heldout_empirical_joint_loss,crc_heldout_coverage,crc_heldout_selective_risk,exceeded_alpha,n_calib_units,n_eval_units
2,3,uniform,uniform,78.832,1,1.3698901718038108,0.6327035388033401,9.842057,10.036599,72.168264,13.90722,1,27,27
2,3,uniform,transmittance_weighted,81.348,1,1.3698901718038108,0.6327035388033401,9.842057,8.773734,74.227978,11.819983,0,27,27
2,3,transmittance_weighted,uniform,78.832,1,1.2722712725600982,0.618870676887121,9.927038,12.327995,77.291064,15.950091,1,27,27
2,3,transmittance_weighted,transmittance_weighted,81.348,1,1.2722712725600982,0.618870676887121,9.927038,10.121994,77.976483,12.980829,1,27,27
2,4,uniform,uniform,71.999,1,1.442232142402696,0.6292511874297743,9.957262,11.465509,64.805978,17.692054,1,27,27
2,4,uniform,transmittance_weighted,77.574,1,1.442232142402696,0.6292511874297743,9.957262,10.844406,69.183748,15.674788,1,27,27
2,4,transmittance_weighted,uniform,71.999,1,1.3084649577691587,0.6920827174056223,9.950345,10.404134,61.682292,16.867295,1,27,27
2,4,transmittance_weighted,transmittance_weighted,77.574,1,1.3084649577691587,0.6920827174056223,9.950345,9.772918,66.219046,14.75847,0,27,27
3,1,uniform,uniform,82.567,1,1.3726875398578946,0.6672168217155183,9.865771,6.59712,74.237936,8.886454,0,27,28
3,1,uniform,transmittance_weighted,82.692,1,1.3726875398578946,0.6672168217155183,9.865771,6.959891,74.396244,9.355164,0,27,28
3,1,transmittance_weighted,uniform,82.567,1,1.357383979380562,0.6672965822676282,9.872913,6.759741,74.610706,9.060014,0,27,28
3,1,transmittance_weighted,transmittance_weighted,82.692,1,1.357383979380562,0.6672965822676282,9.872913,7.153595,74.977252,9.54102,0,27,28
3,2,uniform,uniform,79.797,1,1.3993756342591819,0.6809460848521832,9.978888,6.650596,70.742077,9.401188,0,27,28
3,2,uniform,transmittance_weighted,82.713,1,1.3993756342591819,0.6809460848521832,9.978888,6.352064,72.856686,8.718574,0,27,28
3,2,transmittance_weighted,uniform,79.797,1,1.369337147410454,0.6670979759576593,9.967765,7.380885,73.120531,10.094135,0,27,28
3,2,transmittance_weighted,transmittance_weighted,82.713,1,1.369337147410454,0.6670979759576593,9.967765,6.957984,75.287032,9.241942,0,27,28
3,3,uniform,uniform,76.401,1,1.3997736135197842,0.7212943421595055,9.935953,6.08231,61.326867,9.917855,0,27,28
3,3,uniform,transmittance_weighted,80.278,1,1.3997736135197842,0.7212943421595055,9.935953,5.522504,66.085856,8.35656,0,27,28
3,3,transmittance_weighted,uniform,76.401,1,1.4179483850493408,0.6734370477885849,9.932929,7.675634,66.417398,11.556662,0,27,28
3,3,transmittance_weighted,transmittance_weighted,80.278,1,1.4179483850493408,0.6734370477885849,9.932929,7.111327,71.23792,9.982502,0,27,28
3,4,uniform,uniform,72.189,1,1.4534033839362792,0.7338768737969372,9.894273,7.471905,56.410918,13.245494,0,27,28
3,4,uniform,transmittance_weighted,76.777,1,1.4534033839362792,0.7338768737969372,9.894273,5.334296,60.209816,8.859512,0,27,28
3,4,transmittance_weighted,uniform,72.189,1,1.4799758441702797,0.6972782567908046,9.901936,8.43843,60.041784,14.054263,0,27,28
3,4,transmittance_weighted,transmittance_weighted,76.777,1,1.4799758441702797,0.6972782567908046,9.901936,6.393906,63.800182,10.021767,0,27,28
4,1,uniform,uniform,78.105,1,1.0278299861934412,0.9149005246170124,9.976488,5.368771,52.358447,10.253878,0,27,28
4,1,uniform,transmittance_weighted,78.025,1,1.0278299861934412,0.9149005246170124,9.976488,4.939459,52.461684,9.415365,0,27,28
4,1,transmittance_weighted,uniform,78.105,1,1.0082391997644122,0.9198703676791375,9.978364,5.358625,52.206507,10.264286,0,27,28
4,1,transmittance_weighted,transmittance_weighted,78.025,1,1.0082391997644122,0.9198703676791375,9.978364,4.895036,52.311492,9.357477,0,27,28
4,2,uniform,uniform,76.489,1,1.053086531663745,0.914627861354332,9.919848,4.824704,46.957426,10.274634,0,27,28
4,2,uniform,transmittance_weighted,75.264,1,1.053086531663745,0.914627861354332,9.919848,5.14547,47.519494,10.828125,0,27,28
4,2,transmittance_weighted,uniform,76.489,1,1.0416320209538394,0.9159578023856787,9.990767,4.948402,47.227824,10.477726,0,27,28
4,2,transmittance_weighted,transmittance_weighted,75.264,1,1.0416320209538394,0.9159578023856787,9.990767,5.208249,47.749413,10.907462,0,27,28
4,3,uniform,uniform,73.144,1,1.1453937228129,0.8613353671412265,9.977222,5.517763,49.3843,11.173112,0,27,28
4,3,uniform,transmittance_weighted,75.229,1,1.1453937228129,0.8613353671412265,9.977222,5.686386,50.300107,11.304918,0,27,28
4,3,transmittance_weighted,uniform,73.144,1,1.1021438044343246,0.880419773970458,9.979658,5.340515,48.333861,11.049221,0,27,28
4,3,transmittance_weighted,transmittance_weighted,75.229,1,1.1021438044343246,0.880419773970458,9.979658,5.489116,48.98502,11.205702,0,27,28
4,4,uniform,uniform,67.484,1,1.3126844748035404,0.8155297208478488,9.992757,6.817775,42.307351,16.114872,0,27,28
4,4,uniform,transmittance_weighted,69.821,1,1.3126844748035404,0.8155297208478488,9.992757,5.358109,40.289129,13.299144,0,27,28
4,4,transmittance_weighted,uniform,67.484,1,1.2243595762979147,0.8647283271877689,9.979613,5.592827,38.053642,14.697218,0,27,28
4,4,transmittance_weighted,transmittance_weighted,69.821,1,1.2243595762979147,0.8647283271877689,9.979613,4.392757,36.282273,12.107173,0,27,28
