kind,seed,missing_groups,miou
drop,0,0,69.60652247439741
drop,0,1,68.1744108860955
drop,0,1,63.1240967872676
drop,0,1,68.64774946288928
drop,0,1,69.45807982717287
drop,0,1,67.52954644963204
drop,0,1,69.42948468977818
drop,0,1,68.10156345041685
drop,0,1,70.81534086236749
drop,0,1,66.786014443977
drop,0,1,70.73789360220756
drop,0,2,52.76211150907812
drop,0,2,66.95208157112515
drop,0,2,67.23871770079117
drop,0,2,67.68422632575263
drop,0,2,68.70540538111912
drop,0,2,65.35024622291216
drop,0,2,69.39548893881657
drop,0,2,65.57959556344375
drop,0,2,70.05721382901274
drop,0,2,61.17289358334693
drop,0,2,62.69446651643292
drop,0,2,61.726320508664024
drop,0,2,60.65706595175966
drop,0,2,61.852804802254795
drop,0,2,61.80892740778215
drop,0,2,59.10958051689319
drop,0,2,62.516412040694355
drop,0,2,61.68648942869538
drop,0,2,65.69238904919331
drop,0,2,67.95735923164521
drop,0,2,65.9598190529508
drop,0,2,68.02669126507128
drop,0,2,65.58621258254999
drop,0,2,69.08884799169961
drop,0,2,63.53643517620565
drop,0,2,68.05514358560369
drop,0,2,66.64723963550712
drop,0,2,70.55293935326462
drop,0,2,65.68027277166584
drop,0,2,70.48312034381836
drop,0,2,66.23612954302406
drop,0,2,64.64822221411295
drop,0,2,68.69338733405708
drop,0,2,63.333475869907424
drop,0,2,67.85623555742765
drop,0,2,63.58208243356877
drop,0,2,69.21391501263403
drop,0,2,66.1927088100335
drop,0,2,70.34071797623294
drop,0,2,67.61781543987779
drop,0,2,65.72825871701859
drop,0,2,67.42363548377683
drop,0,2,61.14837932854109
drop,0,2,72.08462885757476
drop,0,2,66.45665883999366
drop,0,3,47.021210154948754
drop,0,3,50.721678282926746
drop,0,3,50.67204849295371
drop,0,3,46.91707266302705
drop,0,3,51.042426614338126
drop,0,3,49.80129696884906
drop,0,3,49.47326562080078
drop,0,3,52.98045086315689
drop,0,3,57.97329144356345
drop,0,3,66.59008638614738
drop,0,3,66.25330486046389
drop,0,3,63.82459138448445
drop,0,3,66.84063731424848
drop,0,3,65.41798050697138
drop,0,3,67.58852192755604
drop,0,3,60.604916127015244
drop,0,3,66.767453595712
drop,0,3,64.24585193757413
drop,0,3,66.41279194854879
drop,0,3,63.05237601736288
drop,0,3,67.61031746516274
drop,0,3,65.59696324213188
drop,0,3,62.72839716949415
drop,0,3,68.27379181274492
drop,0,3,62.78009100928222
drop,0,3,69.00438380148587
drop,0,3,61.15752031526216
drop,0,3,67.79983965802026
drop,0,3,63.69110910282733
drop,0,3,69.6288394934119
drop,0,3,64.32461643191517
drop,0,3,61.32865358689211
drop,0,3,65.42514346356546
drop,0,3,58.7713395354411
drop,0,3,68.84999991827148
