split_seed,model_seed,method,state,arm,acc,aurc,augrc,auroc,aurc_rawT,auroc_rawT,aurc_cleanT,auroc_cleanT,temperature,crc_threshold,crc_calibration_selection_stat,crc_heldout_empirical_joint_loss,crc_heldout_coverage,crc_heldout_selective_risk,crc_feasible,n_calib_units,n_eval_units,n_temp_roi,n_calib_roi,n_eval_roi,mondrian_plugin_cond_risk,mondrian_plugin_cov,naive_plugin_cond_risk,naive_plugin_cov,plugin_margin_neff,plugin_margin_icc,plugin_degenerate,mondrian_plugin_cov_rowsized,naive_plugin_cov_rowsized,mondrian_plugin_cond_risk_rowsized,naive_plugin_cond_risk_rowsized
8,5,b2,dropB1B9B10,naive,76.1723,8.58204,6.27702,81.0572,8.58315,81.0571,8.58647,81.0529,1.09527,0.655152,9.94952,5.23696,58.2116,8.99641,1,69,69,46,69,69,8.34304,55.6946,7.07043,49.3108,887,0.0446641,0,59.3831,52.4662,9.14583,7.77334
8,5,b2,dropB1B9B10,naiveThr_freshT,76.1723,8.58204,6.27702,81.0572,8.58315,81.0571,8.58647,81.0529,0.953627,0.700623,9.92792,5.30616,58.5786,9.05818,1,69,69,46,69,69,8.34304,55.6946,7.07043,49.3108,887,0.0446641,0,59.3831,52.4662,9.14583,7.77334
8,5,b2,L2A_real,mondrian,62.5736,23.6262,13.5422,72.0808,23.2281,71.5387,23.2249,71.5738,4.36457,0.686109,9.94923,8.67572,46.6685,18.5901,1,69,69,46,69,69,nan,0,35.568,91.473,1,0.0449812,1,0.00608108,92.5122,11.1111,35.8455
8,5,b2,L2A_real,naive,62.5736,23.6262,13.5422,72.0808,23.2281,71.5387,23.2249,71.5738,1.09527,0.655152,9.94952,33.9609,94.0674,36.1027,1,69,69,46,69,69,nan,0,35.568,91.473,1,0.0449812,1,0.00608108,92.5122,11.1111,35.8455
8,5,b2,L2A_real,naiveThr_freshT,62.5736,23.6262,13.5422,72.0808,23.2281,71.5387,23.2249,71.5738,4.36457,0.361278,9.9403,35.4232,96.8946,36.5585,1,69,69,46,69,69,nan,0,35.568,91.473,1,0.0449812,1,0.00608108,92.5122,11.1111,35.8455
8,6,proposed,clean,mondrian,80.0581,6.0692,4.67181,83.1924,6.07737,83.1604,6.0692,83.1924,1.17366,0.64996,9.9394,8.07681,75.3761,10.7154,1,69,69,46,69,69,8.63331,68.4182,8.63331,68.4182,930,0.0519604,0,71.6514,71.6514,9.62902,9.62902
8,6,proposed,clean,naive,80.0581,6.0692,4.67181,83.1924,6.07737,83.1604,6.0692,83.1924,1.17366,0.64996,9.9394,8.07681,75.3761,10.7154,1,69,69,46,69,69,8.63331,68.4182,8.63331,68.4182,930,0.0519604,0,71.6514,71.6514,9.62902,9.62902
8,6,proposed,clean,naiveThr_freshT,80.0581,6.0692,4.67181,83.1924,6.07737,83.1604,6.0692,83.1924,1.17366,0.64996,9.9394,8.07681,75.3761,10.7154,1,69,69,46,69,69,8.63331,68.4182,8.63331,68.4182,930,0.0519604,0,71.6514,71.6514,9.62902,9.62902
8,6,proposed,dropB10,mondrian,78.5743,6.9471,5.22719,82.5851,6.95696,82.5532,6.9454,82.5904,1.14194,0.661274,9.88101,7.66522,72.1895,10.6182,1,69,69,46,69,69,7.94399,62.5324,8.75199,65.4446,797,0.0561273,0,66.098,68.5831,8.91797,9.63321
8,6,proposed,dropB10,naive,78.5743,6.9471,5.22719,82.5851,6.95696,82.5532,6.9454,82.5904,1.17366,0.64996,9.9394,7.73986,72.425,10.6867,1,69,69,46,69,69,7.94399,62.5324,8.75199,65.4446,797,0.0561273,0,66.098,68.5831,8.91797,9.63321
