seed,split,state,arm,joint,selective,coverage,acc
0,0,clean,naive,10.089885329131654,13.156788760939515,76.68957457983193,78.02168949771689
0,0,clean,mondrian,10.089885329131654,13.156788760939515,76.68957457983193,78.02168949771689
0,0,L2A,naive,26.888090861344537,29.168864202628225,92.18079481792718,68.04794520547945
0,0,L2A,mondrian,8.726155462184874,16.417941788768676,53.150118172268925,68.04794520547945
0,0,ACOLITE,naive,25.413375350140054,31.087897702044902,81.7468443627451,61.981735159817354
0,0,ACOLITE,mondrian,9.159309348739498,18.221835929734905,50.265568102240884,61.981735159817354
0,1,clean,naive,10.287622549019607,13.38621797865327,76.85234593837535,77.5281690140845
0,1,clean,mondrian,10.287622549019607,13.38621797865327,76.85234593837535,77.5281690140845
0,1,L2A,naive,26.978335084033617,28.603780463278405,94.31737570028011,69.25117370892019
0,1,L2A,mondrian,8.504796918767509,16.506349569591112,51.524396008403365,69.25117370892019
0,1,ACOLITE,naive,27.43278186274509,32.95590128459745,83.24087885154063,61.40140845070422
0,1,ACOLITE,mondrian,7.891832983193278,17.485889107449925,45.132580532212884,61.40140845070422
0,2,clean,naive,7.815695028011205,10.601486676647978,73.72263217787115,80.72184684684684
0,2,clean,mondrian,7.815695028011205,10.601486676647978,73.72263217787115,80.72184684684684
0,2,L2A,naive,26.40604866946778,28.149916794905987,93.80506827731092,70.17567567567568
0,2,L2A,mondrian,10.338712359943976,18.021260639665417,57.36952906162465,70.17567567567568
0,2,ACOLITE,naive,27.142559523809524,32.77051547070535,82.82615983893558,61.39301801801802
0,2,ACOLITE,mondrian,8.617546393557422,17.65108611889951,48.82162114845938,61.39301801801802
0,3,clean,naive,6.860189075630252,9.737281217812447,70.45281862745098,78.73198198198197
0,3,clean,mondrian,6.860189075630252,9.737281217812447,70.45281862745098,78.73198198198197
0,3,L2A,naive,27.883823529411767,30.580969177662347,91.18031337535014,67.09797297297297
0,3,L2A,mondrian,8.403693977591038,16.207823341718303,51.849614845938376,67.09797297297297
0,3,ACOLITE,naive,28.963742997198878,35.12197783383025,82.46615021008404,58.83220720720721
0,3,ACOLITE,mondrian,10.112683823529412,19.138801717015777,52.83864670868347,58.83220720720721
0,4,clean,naive,12.090524334733894,15.846283575454246,76.29880077030813,76.01310043668123
0,4,clean,mondrian,12.090524334733894,15.846283575454246,76.29880077030813,76.01310043668123
0,4,L2A,naive,29.40530462184874,31.47174389938221,93.43398546918769,67.0906113537118
0,4,L2A,mondrian,8.372973564425768,17.13627591359024,48.8611038165266,67.0906113537118
0,4,ACOLITE,naive,29.811230742296917,35.83382602233362,83.19298844537815,58.90174672489083
0,4,ACOLITE,mondrian,9.226825105042018,19.871048779880873,46.433508403361344,58.90174672489083
0,5,clean,naive,9.346875,12.084302788465884,77.3472426470588,79.48017621145375
0,5,clean,mondrian,9.346875,12.084302788465884,77.3472426470588,79.48017621145375
