split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_source_units,n_target_units,n_eval_units,n_eval_px
9,2,proposed,mondrian,80.234,6.25416,82.5142,1.30412,0.723089,6.42609,70.4899,9.11633,1,24,121,63,23,50000
9,2,b2,naive,79.838,6.42446,82.6699,1.08944,0.613201,9.51232,78.8812,12.0591,1,73,121,63,23,50000
9,2,b2,mondrian,79.838,6.42446,82.6699,1.11015,0.743216,4.96739,64.5377,7.69689,1,24,121,63,23,50000
9,3,proposed,naive,80.198,6.05937,83.2919,1.18798,0.630807,9.94203,80.5522,12.3423,1,73,121,63,23,50000
9,3,proposed,mondrian,80.198,6.05937,83.2919,1.24579,0.718511,5.98696,69.5804,8.60437,1,24,121,63,23,50000
9,3,b2,naive,78.334,7.34919,81.6954,1.26165,0.65754,9.74783,76.3587,12.7658,1,73,121,63,23,50000
9,3,b2,mondrian,78.334,7.34919,81.6954,1.41634,0.748064,5.70362,62.8319,9.07759,1,24,121,63,23,50000
9,4,proposed,naive,79.456,6.63319,82.3114,1.25031,0.635629,10.2145,79.3841,12.8672,1,73,121,63,23,50000
9,4,proposed,mondrian,79.456,6.63319,82.3114,1.40724,0.721759,5.76812,66.3848,8.68891,1,24,121,63,23,50000
9,4,b2,naive,78.692,7.14887,81.8015,1.1751,0.630691,10.3254,78.7645,13.1092,1,73,121,63,23,50000
9,4,b2,mondrian,78.692,7.14887,81.8015,1.31513,0.742753,5.94275,64.3007,9.24213,1,24,121,63,23,50000
9,5,proposed,naive,79.85,6.51048,82.2916,1.21509,0.623157,9.83913,79.5072,12.3751,1,73,121,63,23,50000
9,5,proposed,mondrian,79.85,6.51048,82.2916,1.21789,0.731189,5.99203,67.9203,8.82215,1,24,121,63,23,50000
9,5,b2,naive,79.138,6.78033,82.4645,1.15504,0.634883,9.76739,78.0348,12.5167,1,73,121,63,23,50000
9,5,b2,mondrian,79.138,6.78033,82.4645,1.23642,0.731627,5.47464,65.5116,8.35675,1,24,121,63,23,50000
9,6,proposed,naive,79.64,6.33439,83.1996,1.26364,0.636815,9.53768,79.4891,11.9987,1,73,121,63,23,50000
9,6,proposed,mondrian,79.64,6.33439,83.1996,1.33045,0.743522,5.7413,67.1775,8.54646,1,24,121,63,23,50000
9,6,b2,naive,79.402,6.51584,82.8555,1.15624,0.633157,9.79203,78.5964,12.4586,1,73,121,63,23,50000
9,6,b2,mondrian,79.402,6.51584,82.8555,1.29966,0.727848,5.77319,66.8942,8.63033,1,24,121,63,23,50000
9,7,proposed,naive,79.706,6.30054,83.153,1.22465,0.628112,9.93696,80.7109,12.3118,1,73,121,63,23,50000
9,7,proposed,mondrian,79.706,6.30054,83.153,1.3138,0.705078,6.21522,70.0848,8.86814,1,24,121,63,23,50000
9,7,b2,naive,78.802,7.10964,81.8218,1.20047,0.644584,10.1246,77.9855,12.9827,1,73,121,63,23,50000
9,7,b2,mondrian,78.802,7.10964,81.8218,1.38091,0.732316,5.44783,64.2341,8.48121,1,24,121,63,23,50000
9,8,proposed,naive,79.934,6.09037,83.5475,1.26419,0.632963,9.66812,79.6761,12.1343,1,73,121,63,23,50000
9,8,proposed,mondrian,79.934,6.09037,83.5475,1.25613,0.745056,5.75145,68.7935,8.36046,1,24,121,63,23,50000
9,8,b2,naive,79.328,6.68501,82.5397,1.0986,0.642804,9.0029,76.6464,11.746,1,73,121,63,23,50000
9,8,b2,mondrian,79.328,6.68501,82.5397,1.16122,0.755761,5.35725,63.9449,8.37791,1,24,121,63,23,50000
9,9,proposed,naive,79.948,6.16193,83.1571,1.18714,0.637866,10.2246,80.7899,12.6558,1,73,121,63,23,50000
9,9,proposed,mondrian,79.948,6.16193,83.1571,1.27777,0.754529,5.42391,66.9688,8.09916,1,24,121,63,23,50000
9,9,b2,naive,78.088,7.33411,82.258,1.18767,0.650772,10.2029,77.3913,13.1835,1,73,121,63,23,50000
9,9,b2,mondrian,78.088,7.33411,82.258,1.32358,0.749593,5.76594,64.9522,8.87721,1,24,121,63,23,50000
