contrast,metric,missing_groups,mean_diff,std_diff,n_seeds,n_seeds_first_better
b2m-minus-b2,plugin_coverage,0,1.7719,9.8166,5,
b2m-minus-b2,plugin_coverage,1,2.4807,7.2659,5,
b2m-minus-b2,plugin_coverage,2,4.1156,7.0954,5,
b2m-minus-b2,plugin_coverage,3,3.0850,6.0013,5,
b2m-minus-b2,plugin_coverage,4,4.8124,6.7902,5,
b2m-minus-b2,plugin_coverage,5,7.3316,6.5391,5,
b2m-minus-b2,plugin_coverage,6,0.7276,1.2927,5,
b2m-minus-b2,plugin_cond_risk,0,-1.1544,1.7639,5,
b2m-minus-b2,plugin_cond_risk,1,-0.6615,1.5191,5,
b2m-minus-b2,plugin_cond_risk,2,-0.7971,1.2998,5,
b2m-minus-b2,plugin_cond_risk,3,-1.3206,2.0834,5,
b2m-minus-b2,plugin_cond_risk,4,-1.5777,1.8615,5,
b2m-minus-b2,plugin_cond_risk,5,1.2634,1.5774,4,
b2m-minus-b2,plugin_cond_risk,6,nan,nan,0,
b2m-minus-b2,mask_acc_worst,0,1.7104,0.9313,5,5
b2m-minus-b2,mask_acc_worst,1,0.6154,1.2938,5,3
b2m-minus-b2,mask_acc_worst,2,1.2794,2.5581,5,3
b2m-minus-b2,mask_acc_worst,3,4.8534,2.3640,5,5
b2m-minus-b2,mask_acc_worst,4,8.6629,3.3677,5,5
b2m-minus-b2,mask_acc_worst,5,9.1923,2.6575,5,5
b2m-minus-b2,mask_acc_worst,6,10.4430,4.9700,5,5
b2m-minus-b2,cls_cov_min,0,-6.3932,14.7359,5,1
b2m-minus-b2,cls_cov_min,1,-0.9162,11.4625,5,2
b2m-minus-b2,cls_cov_min,2,5.9824,9.2297,5,4
b2m-minus-b2,cls_cov_min,3,5.1617,9.4234,5,2
b2m-minus-b2,cls_cov_min,4,3.6110,2.9059,5,4
b2m-minus-b2,cls_cov_min,5,2.9597,2.3414,5,4
b2m-minus-b2,cls_cov_min,6,6.3744,3.5509,5,5
proposed-minus-b2,aurc,0,-2.1790,2.8434,5,3
proposed-minus-b2,aurc,1,-2.2909,3.1585,5,3
proposed-minus-b2,aurc,2,-2.4104,3.4250,5,4
proposed-minus-b2,aurc,3,-2.6276,4.1800,5,4
proposed-minus-b2,aurc,4,-3.6177,4.5342,5,3
proposed-minus-b2,aurc,5,-4.1771,5.7501,5,3
proposed-minus-b2,aurc,6,-8.6051,4.7740,5,5
proposed-minus-b2,augrc,0,-1.0778,1.7662,5,3
proposed-minus-b2,augrc,1,-1.1519,1.9845,5,3
proposed-minus-b2,augrc,2,-1.2682,2.1278,5,4
proposed-minus-b2,augrc,3,-1.3560,2.4816,5,4
proposed-minus-b2,augrc,4,-2.0138,2.4369,5,3
proposed-minus-b2,augrc,5,-2.3270,2.7450,5,4
proposed-minus-b2,augrc,6,-4.2707,1.6767,5,5
proposed-minus-b2,auroc,0,3.2855,5.4841,5,4
proposed-minus-b2,auroc,1,2.8462,4.6912,5,4
proposed-minus-b2,auroc,2,2.5330,4.1513,5,4
proposed-minus-b2,auroc,3,2.4927,4.0011,5,4
proposed-minus-b2,auroc,4,2.7591,3.5743,5,3
proposed-minus-b2,auroc,5,2.8125,4.2378,5,3
proposed-minus-b2,auroc,6,4.8014,3.2032,5,5
proposed-minus-b2,acc,0,1.8231,4.2324,5,3
proposed-minus-b2,acc,1,2.0391,4.5593,5,3
proposed-minus-b2,acc,2,2.1572,4.4349,5,4
proposed-minus-b2,acc,3,2.2013,4.8269,5,4
proposed-minus-b2,acc,4,3.4977,4.1556,5,3
proposed-minus-b2,acc,5,3.5796,4.0576,5,3
proposed-minus-b2,acc,6,6.1686,1.9197,5,5
proposed-minus-b2,plugin_coverage,0,8.0655,21.2879,5,
proposed-minus-b2,plugin_coverage,1,8.9384,20.1141,5,
proposed-minus-b2,plugin_coverage,2,11.2927,16.3193,5,
proposed-minus-b2,plugin_coverage,3,8.5698,11.9925,5,
proposed-minus-b2,plugin_coverage,4,9.0913,5.9250,5,
proposed-minus-b2,plugin_coverage,5,5.1009,6.2352,5,
proposed-minus-b2,plugin_coverage,6,1.6120,3.1674,5,
proposed-minus-b2,plugin_cond_risk,0,-2.3004,4.4835,5,
proposed-minus-b2,plugin_cond_risk,1,-1.9654,5.2686,5,
proposed-minus-b2,plugin_cond_risk,2,-1.9586,4.9991,5,
proposed-minus-b2,plugin_cond_risk,3,-2.4652,5.5604,5,
