split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_source_units,n_target_units,n_eval_units,n_eval_px
3,1,b2,naive,81.2442,5.75392,83.254,1.07264,0.642674,8.69565,79.7754,10.9002,1,73,121,63,23,52000
3,1,b2,mondrian,81.2442,5.75392,83.254,1.2988,0.726222,4.63841,66.7754,6.94628,1,24,121,63,23,52000
3,2,proposed,naive,82.2173,4.89458,84.8632,1.2093,0.645329,7.99348,80.471,9.93336,1,73,121,63,23,52000
3,2,proposed,mondrian,82.2173,4.89458,84.8632,1.39954,0.74706,3.9413,66.8004,5.90012,1,24,121,63,23,52000
3,2,b2,naive,81.4635,5.31022,84.5765,1.02654,0.638632,8.43007,80.6594,10.4514,1,73,121,63,23,52000
3,2,b2,mondrian,81.4635,5.31022,84.5765,1.19417,0.710903,5.05399,69.2801,7.29501,1,24,121,63,23,52000
4,0,proposed,naive,77.788,7.6039,81.7246,1.19347,0.63087,11.0304,78.8489,13.9893,1,73,121,63,23,50000
4,0,proposed,mondrian,77.788,7.6039,81.7246,1.23876,0.702968,7.81413,71.3641,10.9497,1,24,121,63,23,50000
4,0,b2,naive,76.044,7.66146,84.3023,1.08186,0.620057,11.0033,78.6424,13.9915,1,73,121,63,23,50000
4,0,b2,mondrian,76.044,7.66146,84.3023,1.15321,0.706524,7.26848,69.1326,10.5138,1,24,121,63,23,50000
4,1,proposed,naive,76.952,7.17084,84.375,1.20226,0.642079,10.2435,78.0696,13.121,1,73,121,63,23,50000
4,1,proposed,mondrian,76.952,7.17084,84.375,1.23132,0.726029,6.79239,69.5793,9.76208,1,24,121,63,23,50000
4,1,b2,naive,76.088,7.99262,83.1678,1.12293,0.614309,11.5511,78.5967,14.6966,1,73,121,63,23,50000
4,1,b2,mondrian,76.088,7.99262,83.1678,1.2304,0.723924,6.6837,66.55,10.0431,1,24,121,63,23,50000
4,2,proposed,naive,77.742,7.21308,83.1569,1.2288,0.634445,10.925,79.6728,13.7123,1,73,121,63,23,50000
4,2,proposed,mondrian,77.742,7.21308,83.1569,1.29781,0.726483,7.30435,70.4522,10.3678,1,24,121,63,23,50000
4,2,b2,naive,76.522,7.40646,84.5615,1.05987,0.60898,10.9967,79.2065,13.8836,1,73,121,63,23,50000
4,2,b2,mondrian,76.522,7.40646,84.5615,1.14948,0.698837,6.59891,68.6337,9.61468,1,24,121,63,23,50000
5,0,proposed,naive,79.4769,6.22633,83.7575,1.20802,0.628535,9.71449,78.5833,12.362,1,73,121,63,23,52000
5,0,proposed,mondrian,79.4769,6.22633,83.7575,1.32422,0.705116,5.52935,68.267,8.09959,1,24,121,63,23,52000
5,0,b2,naive,79.3673,6.43039,83.1344,1.06089,0.634322,9.68007,77.8685,12.4313,1,73,121,63,23,52000
5,0,b2,mondrian,79.3673,6.43039,83.1344,1.21391,0.70784,6.02174,66.7533,9.02089,1,24,121,63,23,52000
5,1,proposed,naive,78.9673,6.42666,83.7828,1.25239,0.617047,10.1464,79.4004,12.7788,1,73,121,63,23,52000
5,1,proposed,mondrian,78.9673,6.42666,83.7828,1.25478,0.730377,6.55507,69.0482,9.49347,1,24,121,63,23,52000
5,1,b2,naive,78.6538,7.30647,81.1182,1.07928,0.634598,10.8167,77.9341,13.8793,1,73,121,63,23,52000
5,1,b2,mondrian,78.6538,7.30647,81.1182,1.27486,0.712384,6.46232,66.2862,9.74911,1,24,121,63,23,52000
5,2,proposed,naive,79.2038,6.25124,84.0222,1.24567,0.633009,9.94457,79.2384,12.5502,1,73,121,63,23,52000
5,2,proposed,mondrian,79.2038,6.25124,84.0222,1.3633,0.730545,5.59275,66.7562,8.37788,1,24,121,63,23,52000
5,2,b2,naive,79.0462,6.54351,83.2498,1.03527,0.633602,10.462,79.2529,13.2007,1,73,121,63,23,52000
5,2,b2,mondrian,79.0462,6.54351,83.2498,1.15861,0.698803,6.97935,69.9489,9.97778,1,24,121,63,23,52000
6,0,proposed,naive,77.7712,6.862,84.0224,1.19186,0.646548,8.66196,73.6373,11.763,1,73,121,63,23,52000
6,0,proposed,mondrian,77.7712,6.862,84.0224,1.53334,0.631769,5.92174,66.9652,8.84301,1,24,121,63,23,52000
6,0,b2,naive,77.7808,7.20856,82.8385,1.08054,0.620542,10.1098,76.5351,13.2093,1,73,121,63,23,52000
6,0,b2,mondrian,77.7808,7.20856,82.8385,1.34928,0.63985,6.92319,67.521,10.2534,1,24,121,63,23,52000
6,1,proposed,naive,78.7865,6.6161,83.5716,1.23677,0.626319,9.50833,76.8728,12.3689,1,73,121,63,23,52000
6,1,proposed,mondrian,78.7865,6.6161,83.5716,1.47321,0.65734,6.03696,67.6558,8.92304,1,24,121,63,23,52000
6,1,b2,naive,78.3885,7.2769,81.6694,1.09811,0.616862,10.6641,77.5725,13.7473,1,73,121,63,23,52000
6,1,b2,mondrian,78.3885,7.2769,81.6694,1.41359,0.671101,5.67935,63.6308,8.92547,1,24,121,63,23,52000
6,2,proposed,naive,78.8942,6.63705,83.0732,1.25654,0.621112,10.7888,79.3496,13.5965,1,73,121,63,23,52000
6,2,proposed,mondrian,78.8942,6.63705,83.0732,1.50182,0.656563,7.31413,70.5196,10.3718,1,24,121,63,23,52000
6,2,b2,naive,78.0808,6.90185,83.545,1.04384,0.61923,10.1149,77.1297,13.1141,1,73,121,63,23,52000
6,2,b2,mondrian,78.0808,6.90185,83.545,1.30964,0.651685,5.9442,66.2931,8.96655,1,24,121,63,23,52000
7,0,proposed,naive,75.976,8.60551,81.0011,1.12171,0.66482,10.1902,73.9196,13.7855,1,73,121,63,23,50000
7,0,proposed,mondrian,75.976,8.60551,81.0011,1.35329,0.659594,7.75326,67.9967,11.4024,1,24,121,63,23,50000
7,0,b2,naive,76.118,7.94373,83.102,1.01078,0.651347,9.46196,74.2326,12.7464,1,73,121,63,23,50000
7,0,b2,mondrian,76.118,7.94373,83.102,1.30444,0.645173,6.93152,67.1065,10.3291,1,24,121,63,23,50000
7,1,proposed,naive,76.636,7.95046,82.2417,1.15824,0.662519,9.61304,74.5424,12.8961,1,73,121,63,23,50000
7,1,proposed,mondrian,76.636,7.95046,82.2417,1.39185,0.652084,7.79348,69.7207,11.1781,1,24,121,63,23,50000
7,1,b2,naive,76.256,8.44726,81.6305,1.02452,0.653995,10.3359,74.9011,13.7994,1,73,121,63,23,50000
7,1,b2,mondrian,76.256,8.44726,81.6305,1.38531,0.659795,6.45326,64.4957,10.0057,1,24,121,63,23,50000
7,2,proposed,naive,77.094,7.94266,81.3761,1.18144,0.657381,10.4554,75.2413,13.8959,1,73,121,63,23,50000
7,2,proposed,mondrian,77.094,7.94266,81.3761,1.45055,0.664144,7.76413,67.3272,11.5319,1,24,121,63,23,50000
7,2,b2,naive,76.576,7.87944,82.7719,0.988472,0.644495,10.1207,75.4293,13.4174,1,73,121,63,23,50000
7,2,b2,mondrian,76.576,7.87944,82.7719,1.26463,0.639613,7.64022,68.7141,11.1188,1,24,121,63,23,50000
8,0,proposed,naive,80.8717,6.08076,82.463,1.17986,0.65453,8.63043,78.3652,11.0131,1,73,121,63,23,46000
8,0,proposed,mondrian,80.8717,6.08076,82.463,1.51428,0.651277,6.26087,70.9457,8.82488,1,24,121,63,23,46000
8,0,b2,naive,80.7587,6.12765,82.4805,1.10047,0.616706,9.26087,80.4087,11.5172,1,73,121,63,23,46000
8,0,b2,mondrian,80.7587,6.12765,82.4805,1.35966,0.685894,4.83913,65.3087,7.40963,1,24,121,63,23,46000
8,1,proposed,naive,81.1761,5.75016,83.1178,1.23368,0.630432,8.83913,80.1326,11.0306,1,73,121,63,23,46000
8,1,proposed,mondrian,81.1761,5.75016,83.1178,1.3764,0.713351,5.04565,67.8913,7.43196,1,24,121,63,23,46000
8,1,b2,naive,80.213,6.49165,81.9764,1.10904,0.625727,9.20652,78.6348,11.708,1,73,121,63,23,46000
8,1,b2,mondrian,80.213,6.49165,81.9764,1.40684,0.708162,4.30435,62.537,6.88289,1,24,121,63,23,46000
8,2,proposed,naive,81.4087,5.86001,82.2115,1.24598,0.630862,9.3087,80.3261,11.5886,1,73,121,63,23,46000
8,2,proposed,mondrian,81.4087,5.86001,82.2115,1.49323,0.706243,5.06957,67.1804,7.54619,1,24,121,63,23,46000
8,2,b2,naive,80.4891,6.07014,83.2552,1.05785,0.623139,8.95435,79.4087,11.2763,1,73,121,63,23,46000
8,2,b2,mondrian,80.4891,6.07014,83.2552,1.28018,0.691865,4.56522,65.713,6.9472,1,24,121,63,23,46000
9,0,proposed,naive,79.682,6.28923,83.3488,1.23164,0.623951,9.43841,78.8326,11.9727,1,73,121,63,23,50000
9,0,proposed,mondrian,79.682,6.28923,83.3488,1.31128,0.718979,5.15797,66.863,7.71423,1,24,121,63,23,50000
9,0,b2,naive,79.404,6.72493,82.1859,1.104,0.623356,9.72971,78.9493,12.324,1,73,121,63,23,50000
9,0,b2,mondrian,79.404,6.72493,82.1859,1.16591,0.719926,6.28116,67.679,9.28081,1,24,121,63,23,50000
9,1,proposed,naive,80.054,6.05014,83.6778,1.25584,0.62606,8.90145,78.7478,11.3037,1,73,121,63,23,50000
9,1,proposed,mondrian,80.054,6.05014,83.6778,1.28437,0.742144,4.94783,65.7746,7.52239,1,24,121,63,23,50000
9,1,b2,naive,79.456,6.96098,81.3964,1.1175,0.627234,9.79203,78.4029,12.4894,1,73,121,63,23,50000
9,1,b2,mondrian,79.456,6.96098,81.3964,1.21052,0.747025,5.45942,64.4949,8.46488,1,24,121,63,23,50000
9,2,proposed,naive,79.996,6.25948,82.8942,1.27394,0.625053,10.3109,81.2435,12.6913,1,73,121,63,23,50000
9,2,proposed,mondrian,79.996,6.25948,82.8942,1.30939,0.746218,5.99058,68.3188,8.76856,1,24,121,63,23,50000
9,2,b2,naive,79.838,6.42446,82.6699,1.08944,0.611,9.58841,79.0609,12.1279,1,73,121,63,23,50000
9,2,b2,mondrian,79.838,6.42446,82.6699,1.11015,0.741817,5.01159,64.6804,7.74824,1,24,121,63,23,50000
