,,iou,iou,f1,f1,joint,joint,selective,selective,coverage,coverage,support,support
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
state,cls,,,,,,,,,,,,
L2A,clear,60.197975729356415,2.496213324066778,75.12698669211962,1.9603383189112993,1.692754406104396,2.6490286544109476,1.752791386971022,2.703840599174684,95.64318995205619,3.2246989649420312,74045.0,0.0
L2A,cloud shadow,2.5624765214251,2.430105847193504,4.899867692634622,4.551612159822158,90.97729664712074,4.92273401979261,98.33848252839553,2.8330377518548913,92.49586528341602,3.7510549500591397,13302.0,0.0
L2A,thick cloud,51.97988020978206,3.6849783372648726,68.33373916054992,3.2037479100150126,39.042849443047075,4.443253724281308,44.07652655731607,5.075168040980275,88.59504132231405,1.4145565575873533,44528.0,0.0
L2A,thin cloud,0.4737160065219091,0.8674502660054151,1.1623341292239355,1.8287871988601154,91.70902654867257,2.2947336577519173,99.90518356219542,0.25748768385047255,91.79398230088495,2.190945388746541,14125.0,0.0
clean,clear,75.62797364361913,0.3221499443347825,86.12257958201653,0.20898441757730693,2.505908569113377,0.3851583255503949,2.888101855616278,0.44073787715965895,86.7546762104126,0.8229580280596929,74045.0,0.0
clean,cloud shadow,31.93313065276851,1.4366450312136472,48.391865811228755,1.6519352818698805,35.90287174860923,1.5074199251855223,58.4897805308878,2.28944344594172,61.39527890542776,1.5908853917754304,13302.0,0.0
clean,thick cloud,68.85197062349445,0.6150762996594044,81.55164505867594,0.43021150338137976,8.835339561624147,0.796370153308808,11.53212276761938,1.1656287231323998,76.70162594322673,1.582059499468914,44528.0,0.0
clean,thin cloud,30.671973239841083,1.1485683997544134,46.934349449522,1.3453102937122154,29.19504424778761,1.6873760329144942,57.00618799875154,2.1941345240308827,51.260176991150445,3.167869337851126,14125.0,0.0
