state,cls,model_seed,split_seed,support,iou,f1,pa,ua,joint,selective,coverage
clean,clear,0,0,74045,75.03071152905365,85.73433870386704,93.2095347423864,79.36911346987591,2.3904382470119523,2.7365491651205938,87.35228577216557
clean,thick cloud,0,0,44528,68.63841990467728,81.40306336299294,76.32725476104922,87.20205259781912,9.962270930650376,13.294174058978662,74.93711821775064
clean,thin cloud,0,0,14125,30.73068056530019,47.01372383654067,43.412389380530975,51.26661650363682,28.821238938053096,55.45565999182672,51.971681415929204
clean,cloud shadow,0,0,13302,32.64560099132589,49.22228969125134,39.61058487445497,64.9932157394844,35.6262216208089,57.317368166424764,62.15606675687867
L2A,clear,0,0,74045,56.753385900590956,72.4110494641341,91.56729016138834,59.883238239918036,7.738537375920049,7.856741303423783,98.49550948747383
L2A,thick cloud,0,0,44528,49.837816797854856,66.52234777965391,51.75844412504491,93.07030650567378,41.60752784764642,46.94539465349044,88.6296263025512
L2A,thin cloud,0,0,14125,0.5422314911366006,1.078614395353661,0.552212389380531,23.076923076923077,92.23362831858407,99.93096571297077,92.29734513274336
L2A,cloud shadow,0,0,13302,4.64907467451489,8.885075551742219,7.00646519320403,12.140158916243324,89.16704254999249,94.19472681067344,94.66245677341753
clean,clear,0,1,72566,75.50759521369096,86.04481774336428,90.35085301656423,82.13055405930176,2.767136124355759,3.3775714453920034,81.92679767384175
clean,thick cloud,0,1,43341,71.45508382684127,83.35137370322173,79.06370411388754,88.13075459081323,6.958768833206433,9.502804209464994,73.2285826353799
clean,thin cloud,0,1,11734,31.909587732795668,48.38099835083062,51.252769728992675,45.813971204387904,17.12970853928754,44.61709211986681,38.392704959945455
clean,cloud shadow,0,1,13959,38.52487736510161,55.6216011129379,47.25983236621534,67.57836508912108,24.67941829643957,43.80165289256198,56.34357762017337
L2A,clear,0,1,72566,59.332855279186504,74.47661083487418,94.63936278698013,61.39624699392975,4.664719014414464,4.753345597011782,98.13549045007304
L2A,thick cloud,0,1,43341,53.717225729627714,69.8909643661025,55.164855448651394,95.34234557562706,37.680256569991464,43.37467796340071,86.87155349438176
L2A,thin cloud,0,1,11734,0.2858343841950399,0.5700393997820438,0.28975626384864495,17.435897435897434,89.58581898755753,99.99048796727861,89.59434123061189
L2A,cloud shadow,0,1,13959,3.918804623625599,7.542051003798155,4.978866680994341,15.544620890181168,89.26140841034457,96.61910669975185,92.38484132101154
clean,clear,0,2,75419,75.70600032522088,86.17349457058242,92.59603017807184,80.58411511521906,2.195733170686432,2.5904547374348867,84.7624603879659
clean,thick cloud,0,2,42136,70.75826778313457,82.87536375456628,79.41665084488324,86.64905875346332,7.886367951395481,10.48198851807457,75.23732675147143
clean,thin cloud,0,2,16262,33.651039766508575,50.35657010270583,45.3757225433526,56.56573399770027,25.2551961628336,51.03131212723658,49.4896076743328
clean,cloud shadow,0,2,12983,36.18938816958619,53.145679932892165,43.91897096202727,67.28023598820059,29.199722714318728,50.560149373166176,57.75244550566126
L2A,clear,0,2,75419,59.13628436176397,74.32155978623915,94.41387448786115,61.280411714588155,4.6659329877086675,4.759006815968841,98.04425940412894
L2A,thick cloud,0,2,42136,53.389480447953,69.61296210409779,55.214068729827225,94.1712204007286,37.87260299981014,43.29706704289551,87.47152078982343
L2A,thin cloud,0,2,16262,0.43652237177155323,0.86925027164071,0.4427499692534744,23.684210526315788,93.27880949452711,99.98681695339793,93.29110810478416
L2A,cloud shadow,0,2,12983,4.523715748607438,8.65586477902783,6.192713548486482,14.372542009295675,88.16914426557805,95.27257594673326,92.54409612570285
clean,clear,0,3,72756,76.23264531914656,86.51364811677644,93.35449997251087,80.60691652227577,1.5723789103304193,1.8606164105066276,84.5084941448128
clean,thick cloud,0,3,39907,69.68270492916308,82.13294921041401,77.1543839426667,87.7983404146112,7.504949006439973,10.51393667064523,71.38096073370586
clean,thin cloud,0,3,13204,33.83952390724399,50.56731064090769,49.95455922447743,51.195280968643274,20.25901242047864,46.54602401252828,43.52468948803393
clean,cloud shadow,0,3,15733,40.79596412556054,57.9504737638347,46.25945464946291,77.54928076718167,26.765397571982458,46.31544214694237,57.78935994406661
L2A,clear,0,3,72756,59.7595007357045,74.81182710324896,97.13013359722909,60.83363462631063,2.2032547143878167,2.240547906911734,98.33553246467646
L2A,thick cloud,0,3,39907,51.44706313347173,67.94065473310756,52.7852256496354,95.30380491336018,40.16087403212469,46.29003841377119,86.75921517528253
L2A,thin cloud,0,3,13204,0.6390016538866337,1.269888697990588,0.6437443199030597,46.44808743169399,93.07028173280824,99.96746115675587,93.10057558315663
L2A,cloud shadow,0,3,15733,3.344280240831965,6.472114824426672,3.8835568550181145,19.40914866581957,91.24133985889532,97.71288544006535,93.37697832581199
clean,clear,0,4,76693,76.0970452983773,86.42626021287198,93.85993506578176,80.08366152682287,1.996270846100687,2.316538054168558,86.17474867328178
clean,thick cloud,0,4,44566,70.26988837077857,82.53941908713693,78.11111609747341,87.5,8.439168873131985,11.410454779891387,73.95996948346273
clean,thin cloud,0,4,13564,29.328697512703933,45.355281661014146,40.42317900324388,51.65818729979272,21.89619581244471,56.5068493150685,38.74963137717488
clean,cloud shadow,0,4,15177,38.71830593480078,55.822922106616325,45.779798379126305,71.51090983944009,26.70488238782368,46.85007513582245,57.000724780918496
L2A,clear,0,4,76693,57.41333074860263,72.94595759528745,92.68120949760734,60.13994297366128,5.640671247701876,5.805152979066023,97.16662537650112
L2A,thick cloud,0,4,44566,52.32478820552316,68.70160637929042,53.356819099762156,96.43523400113554,39.765740699187724,45.4130791307913,87.56451106224476
