model,OA_mean,AA_mean,kappa_mean,mIoU_mean,OA_spread_ddof1,AA_spread_ddof1,kappa_spread_ddof1,mIoU_spread_ddof1,n_runs
SVM (RBF),84.32,80.35,82.09,70.82,0.73,2.66,0.85,2.78,10
MLP (1D spectral),80.01,75.09,77.12,64.42,0.64,1.34,0.69,1.34,10
