seed,method,state,IoU_clear,IoU_thick,IoU_thin,IoU_shadow,miou,audc,support_clear,support_thick,support_thin,support_shadow
0,b1,clean,77.71474474391292,72.46239047776491,33.28851983656254,38.759574847099344,55.55630747633492,27.678319755824464,151794,86281,26563,27862
0,b1,dropB10,64.45245310836269,67.42756979095083,12.944503246394213,30.510225160090894,43.833687826449655,27.678319755824464,151794,86281,26563,27862
0,b1,dropB1B9B10,37.09552947736857,32.92250031533236,4.440957991803279,17.636378990035467,23.023841693634918,27.678319755824464,151794,86281,26563,27862
0,b1,L2A_real,52.29980436740285,2.246803421948303,0.0,0.21395713725350357,13.690141231651165,27.678319755824464,151794,86281,26563,27862
0,b2,clean,76.70935073947174,71.684864144024,33.54829894794371,36.9305496892536,54.71826588017327,44.9553188572116,151794,86281,26563,27862
0,b2,dropB10,74.4896577582436,70.25288892939973,14.515373809895426,35.14160828692893,48.599882196116916,44.9553188572116,151794,86281,26563,27862
0,b2,dropB1B9B10,72.6836772092111,67.54814408061424,11.400984717692946,30.227620445249322,45.4651066131919,44.9553188572116,151794,86281,26563,27862
0,b2,L2A_real,62.95651882255772,54.8835873012365,0.07127049026595146,2.007059312063119,29.979608981530824,44.9553188572116,151794,86281,26563,27862
0,b3,clean,77.71474474391292,72.46239047776491,33.28851983656254,38.759574847099344,55.55630747633492,26.72668060243859,151794,86281,26563,27862
0,b3,dropB10,53.414362541495365,48.959592945647564,5.931733037324824,0.6087575649697401,27.22861152235937,26.72668060243859,151794,86281,26563,27862
0,b3,dropB1B9B10,36.7477431544852,38.7363358319695,1.9760956175298807,0.0,19.365043650996146,26.72668060243859,151794,86281,26563,27862
0,b3,L2A_real,58.66156599405651,41.742399248172916,0.19820571667014397,0.010766966945411478,25.15323448146125,26.72668060243859,151794,86281,26563,27862
0,b4,clean,77.53597211575052,72.45666442275328,35.482893574043686,38.85190839694657,56.08185962737351,48.72600536067832,151794,86281,26563,27862
0,b4,dropB10,76.4728705145684,71.06352872630418,25.28034520416589,36.38086215063951,52.299401648919485,48.72600536067832,151794,86281,26563,27862
0,b4,dropB1B9B10,74.52522932171122,69.25819134993448,21.48049331627236,35.353772202356524,50.15442154756864,48.72600536067832,151794,86281,26563,27862
0,b4,L2A_real,64.87098312277973,59.307819642837565,0.9740735315658414,0.258718457612702,31.35289868869896,48.72600536067832,151794,86281,26563,27862
0,b6,clean,77.81099780488483,72.031825025092,33.17591797565533,39.626944217050635,55.661421255670696,31.714267997531913,151794,86281,26563,27862
0,b6,dropB10,66.12705833222164,63.982977952827206,12.324599528126164,34.15270967331083,44.146836371621454,31.714267997531913,151794,86281,26563,27862
0,b6,dropB1B9B10,60.43345462514439,52.71869742850276,2.836697456950622,18.274965189291436,33.565953674972306,31.714267997531913,151794,86281,26563,27862
0,b6,L2A_real,59.75056241859731,42.74456212276506,0.13899323816679188,0.3019109185195709,25.734007174512186,31.714267997531913,151794,86281,26563,27862
0,proposed,clean,78.01866973969332,73.30483836415755,32.49541914796152,39.68036945887643,55.8748241776722,47.61843400507921,151794,86281,26563,27862
0,proposed,dropB10,76.61041953824949,71.39555537613789,21.25543272175714,37.38999397227245,51.66285040210424,47.61843400507921,151794,86281,26563,27862
0,proposed,dropB1B9B10,74.52501863460621,68.55727141863905,18.68749459607459,35.886433106042794,49.41405443884066,47.61843400507921,151794,86281,26563,27862
0,proposed,L2A_real,65.29902913461831,60.4608024992678,0.42077825358406257,0.5308725549577796,31.67787061060699,47.61843400507921,151794,86281,26563,27862
1,b1,clean,77.87617953194405,72.8322557844625,34.07099206865168,37.9547119140625,55.68353482478018,27.875053871719693,151794,86281,26563,27862
