split_seed,model_seed,method,state,arm,acc,aurc,augrc,auroc,aurc_rawT,auroc_rawT,aurc_cleanT,auroc_cleanT,temperature,crc_threshold,crc_calibration_selection_stat,crc_heldout_empirical_joint_loss,crc_heldout_coverage,crc_heldout_selective_risk,crc_feasible,n_calib_units,n_eval_units,n_temp_roi,n_calib_roi,n_eval_roi,mondrian_plugin_cond_risk,mondrian_plugin_cov,naive_plugin_cond_risk,naive_plugin_cov,plugin_margin_neff,plugin_margin_icc,plugin_degenerate,mondrian_plugin_cov_rowsized,naive_plugin_cov_rowsized,mondrian_plugin_cond_risk_rowsized,naive_plugin_cond_risk_rowsized
8,0,proposed,dropB1B9B10,naive,76.8486,7.85034,5.82387,82.3294,7.866,82.2687,7.85738,82.3014,1.104,0.655445,9.87452,9.02464,73.3957,12.2959,1,69,69,46,69,69,7.42023,56.0284,10.2295,67.3,889,0.0457281,0,60.2311,70.0838,8.36867,11.1324
8,0,proposed,dropB1B9B10,naiveThr_freshT,76.8486,7.85034,5.82387,82.3294,7.866,82.2687,7.85738,82.3014,1.22929,0.623005,9.90905,8.95181,73.2322,12.2239,1,69,69,46,69,69,7.42023,56.0284,10.2295,67.3,889,0.0457281,0,60.2311,70.0838,8.36867,11.1324
8,0,proposed,L2A_real,mondrian,67.6507,17.5441,11.1417,72.9984,18.4204,71.8328,18.3419,71.9445,2.92097,0.722097,9.9869,8.71594,51.4703,16.9339,1,69,69,46,69,69,9.36668,12.1838,30.2775,90.9291,219,0.0492213,0,22.0628,92.4392,11.0311,30.5475
8,0,proposed,L2A_real,naive,67.6507,17.5441,11.1417,72.9984,18.4204,71.8328,18.3419,71.9445,1.104,0.655445,9.87452,29.0105,93.7917,30.9308,1,69,69,46,69,69,9.36668,12.1838,30.2775,90.9291,219,0.0492213,0,22.0628,92.4392,11.0311,30.5475
8,0,proposed,L2A_real,naiveThr_freshT,67.6507,17.5441,11.1417,72.9984,18.4204,71.8328,18.3419,71.9445,2.92097,0.425145,9.89869,30.0301,96.1891,31.2198,1,69,69,46,69,69,9.36668,12.1838,30.2775,90.9291,219,0.0492213,0,22.0628,92.4392,11.0311,30.5475
8,0,b2,clean,mondrian,78.8743,6.74807,5.11479,82.6964,6.75111,82.6885,6.74807,82.6964,1.14524,0.648599,9.96036,7.62029,72.1844,10.5567,1,69,69,46,69,69,8.0662,64.098,8.0662,64.098,939,0.049297,0,67.273,67.273,9.0374,9.0374
8,0,b2,clean,naive,78.8743,6.74807,5.11479,82.6964,6.75111,82.6885,6.74807,82.6964,1.14524,0.648599,9.96036,7.62029,72.1844,10.5567,1,69,69,46,69,69,8.0662,64.098,8.0662,64.098,939,0.049297,0,67.273,67.273,9.0374,9.0374
8,0,b2,clean,naiveThr_freshT,78.8743,6.74807,5.11479,82.6964,6.75111,82.6885,6.74807,82.6964,1.14524,0.648599,9.96036,7.62029,72.1844,10.5567,1,69,69,46,69,69,8.0662,64.098,8.0662,64.098,939,0.049297,0,67.273,67.273,9.0374,9.0374
8,0,b2,dropB10,mondrian,77.3595,7.95539,5.8918,80.9944,7.95931,80.9814,7.95205,81.0052,1.07091,0.65519,9.90881,8.10616,69.438,11.6739,1,69,69,46,69,69,8.44367,58.0716,8.73875,59.3736,855,0.0484958,0,61.7122,62.6669,9.33716,9.58414
8,0,b2,dropB10,naive,77.3595,7.95539,5.8918,80.9944,7.95931,80.9814,7.95205,81.0052,1.14524,0.648599,9.96036,7.58623,67.8362,11.1832,1,69,69,46,69,69,8.44367,58.0716,8.73875,59.3736,855,0.0484958,0,61.7122,62.6669,9.33716,9.58414
