acc_ce,acc_pixel,arm,cls,cls_cov,cls_joint,cls_sel,cov_ce,cov_pp,f1,iou,joint_ce,joint_pp,miou,oa,pa,scope,seed,sel_ce,sel_pp,split,state,support,thr,ua
78.71328502415459,78.63150684931507,naive,ALL,,,,78.66702898550724,78.5431506849315,,,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,,overall,5,12.974946381664296,12.870510059037438,0,clean,,0.6178278069870144,
78.71328502415459,78.63150684931507,naive,clear,87.18617057194949,2.536295495982173,2.9090571123193456,78.66702898550724,78.5431506849315,86.3672491011165,76.00559558570461,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,92.45593895604026,perclass,5,12.974946381664296,12.870510059037438,0,clean,74045,0.6178278069870144,81.03095224004261
78.71328502415459,78.63150684931507,naive,thick cloud,77.3198886094143,8.893280632411066,11.501931511226001,78.66702898550724,78.5431506849315,81.60412409437117,68.92480288706705,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,78.92112827883578,perclass,5,12.974946381664296,12.870510059037438,0,clean,44528,0.6178278069870144,84.47596153846155
78.71328502415459,78.63150684931507,naive,thin cloud,51.05840707964602,31.90088495575221,62.47920133111481,78.66702898550724,78.5431506849315,44.718221926246564,28.79811300525357,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,38.031858407079646,perclass,5,12.974946381664296,12.870510059037438,0,clean,14125,0.6178278069870144,54.25714574285426
78.71328502415459,78.63150684931507,naive,cloud shadow,63.71222372575552,33.19049766952338,52.094395280235986,78.66702898550724,78.5431506849315,50.0,33.33333333333333,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,43.82047812359044,perclass,5,12.974946381664296,12.870510059037438,0,clean,13302,0.6178278069870144,58.208508088675856
78.71328502415459,78.63150684931507,mondrian,ALL,,,,78.66702898550724,78.5431506849315,,,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,,overall,5,12.974946381664296,12.870510059037438,0,clean,,0.6178278069870144,
78.71328502415459,78.63150684931507,mondrian,clear,87.18617057194949,2.536295495982173,2.9090571123193456,78.66702898550724,78.5431506849315,86.3672491011165,76.00559558570461,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,92.45593895604026,perclass,5,12.974946381664296,12.870510059037438,0,clean,74045,0.6178278069870144,81.03095224004261
78.71328502415459,78.63150684931507,mondrian,thick cloud,77.3198886094143,8.893280632411066,11.501931511226001,78.66702898550724,78.5431506849315,81.60412409437117,68.92480288706705,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,78.92112827883578,perclass,5,12.974946381664296,12.870510059037438,0,clean,44528,0.6178278069870144,84.47596153846155
78.71328502415459,78.63150684931507,mondrian,thin cloud,51.05840707964602,31.90088495575221,62.47920133111481,78.66702898550724,78.5431506849315,44.718221926246564,28.79811300525357,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,38.031858407079646,perclass,5,12.974946381664296,12.870510059037438,0,clean,14125,0.6178278069870144,54.25714574285426
78.71328502415459,78.63150684931507,mondrian,cloud shadow,63.71222372575552,33.19049766952338,52.094395280235986,78.66702898550724,78.5431506849315,50.0,33.33333333333333,10.207004830917874,10.10890410958904,51.76546120283964,78.63150684931507,43.82047812359044,perclass,5,12.974946381664296,12.870510059037438,0,clean,13302,0.6178278069870144,58.208508088675856
68.5478260869565,68.82671232876713,naive,ALL,,,,93.90253623188406,93.5472602739726,,,28.028019323671494,27.576712328767123,30.427872196321204,68.82671232876713,,overall,5,29.847989679915315,29.478909642038676,0,L2A,,0.6178278069870144,
68.5478260869565,68.82671232876713,naive,clear,96.5250860962928,0.49429401039908166,0.5120886501007388,93.90253623188406,93.5472602739726,77.60044962407609,63.39929304130857,28.028019323671494,27.576712328767123,30.427872196321204,68.82671232876713,98.82909041798906,perclass,5,29.847989679915315,29.478909642038676,0,L2A,74045,0.6178278069870144,63.87911694614908
68.5478260869565,68.82671232876713,naive,thick cloud,89.74353215954007,33.21056413941789,37.00608092890568,93.90253623188406,93.5472602739726,72.45210369399842,56.80384059034401,28.028019323671494,27.576712328767123,30.427872196321204,68.82671232876713,60.851598993891486,perclass,5,29.847989679915315,29.478909642038676,0,L2A,44528,0.6178278069870144,89.51732795929829
68.5478260869565,68.82671232876713,naive,thin cloud,89.52920353982302,89.51504424778761,99.98418472244188,93.90253623188406,93.5472602739726,0.7229250660364244,0.3627738244732803,28.028019323671494,27.576712328767123,30.427872196321204,68.82671232876713,0.368141592920354,perclass,5,29.847989679915315,29.478909642038676,0,L2A,14125,0.6178278069870144,19.923371647509576
68.5478260869565,68.82671232876713,naive,cloud shadow,93.9708314539167,93.70019545932942,99.712,93.90253623188406,93.5472602739726,2.265212803376715,1.1455813291589583,28.028019323671494,27.576712328767123,30.427872196321204,68.82671232876713,1.2103443091264472,perclass,5,29.847989679915315,29.478909642038676,0,L2A,13302,0.6178278069870144,17.634173055859804
68.5478260869565,68.82671232876713,mondrian,ALL,,,,42.05821256038648,41.618493150684934,,,8.418115942028985,8.264383561643836,30.427872196321204,68.82671232876713,,overall,5,20.01539159549968,19.85747905797936,0,L2A,,0.7209000505653083,
68.5478260869565,68.82671232876713,mondrian,clear,45.094199473293266,0.0418664325747856,0.09284216831386642,42.05821256038648,41.618493150684934,77.60044962407609,63.39929304130857,8.418115942028985,8.264383561643836,30.427872196321204,68.82671232876713,98.82909041798906,perclass,5,20.01539159549968,19.85747905797936,0,L2A,74045,0.7209000505653083,63.87911694614908
68.5478260869565,68.82671232876713,mondrian,thick cloud,41.589561624146604,7.143819619116062,17.17695339921162,42.05821256038648,41.618493150684934,72.45210369399842,56.80384059034401,8.418115942028985,8.264383561643836,30.427872196321204,68.82671232876713,60.851598993891486,perclass,5,20.01539159549968,19.85747905797936,0,L2A,44528,0.7209000505653083,89.51732795929829
68.5478260869565,68.82671232876713,mondrian,thin cloud,32.587610619469025,32.587610619469025,100.0,42.05821256038648,41.618493150684934,0.7229250660364244,0.3627738244732803,8.418115942028985,8.264383561643836,30.427872196321204,68.82671232876713,0.368141592920354,perclass,5,20.01539159549968,19.85747905797936,0,L2A,14125,0.7209000505653083,19.923371647509576
68.5478260869565,68.82671232876713,mondrian,cloud shadow,31.957600360847994,31.957600360847994,100.0,42.05821256038648,41.618493150684934,2.265212803376715,1.1455813291589583,8.418115942028985,8.264383561643836,30.427872196321204,68.82671232876713,1.2103443091264472,perclass,5,20.01539159549968,19.85747905797936,0,L2A,13302,0.7209000505653083,17.634173055859804
