split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_dark_units,n_bright_units,n_eval_units,n_eval_px
3,1,proposed,mondrian,69.9786,12.5138,78.9648,1.36136,0.848426,1.58462,29.5192,5.36808,1,12,152,33,13,28000
3,1,b2,naive,71.5821,12.4988,77.2504,1.16558,0.626007,11.6558,68.8596,16.9269,1,91,152,33,13,28000
3,1,b2,mondrian,71.5821,12.4988,77.2504,1.53421,0.893964,0.867308,21.0731,4.11571,1,12,152,33,13,28000
3,2,proposed,naive,71.0607,12.6579,77.3962,1.22809,0.648352,11.0442,65.4538,16.8733,1,91,152,33,13,28000
3,2,proposed,mondrian,71.0607,12.6579,77.3962,1.39146,0.858733,1.65769,26.4827,6.25953,1,12,152,33,13,28000
3,2,b2,naive,69.0643,14.0029,76.5395,1.10639,0.626791,12.2769,64.4308,19.0544,1,91,152,33,13,28000
3,2,b2,mondrian,69.0643,14.0029,76.5395,1.27354,0.878217,1.06346,22.2865,4.77177,1,12,152,33,13,28000
4,0,proposed,naive,75.8824,9.13517,79.2801,1.22597,0.614558,10.4276,73.6391,14.1604,1,91,152,33,13,34000
4,0,proposed,mondrian,75.8824,9.13517,79.2801,1.35507,0.880426,1.22436,33.8513,3.61688,1,12,152,33,13,34000
4,0,b2,naive,74.9471,10.276,77.8747,1.13911,0.619592,11.1808,72.4058,15.4418,1,91,152,33,13,34000
4,0,b2,mondrian,74.9471,10.276,77.8747,1.29326,0.849884,1.63718,34.7058,4.71731,1,12,152,33,13,34000
4,1,proposed,naive,75.5853,8.94819,80.422,1.21095,0.611173,10.309,73.5224,14.0215,1,91,152,33,13,34000
4,1,proposed,mondrian,75.5853,8.94819,80.422,1.37656,0.858184,1.1359,33.1173,3.42992,1,12,152,33,13,34000
4,1,b2,naive,75.2588,9.93441,78.5317,1.1874,0.603626,11.4603,74.4526,15.3927,1,91,152,33,13,34000
4,1,b2,mondrian,75.2588,9.93441,78.5317,1.44895,0.91223,1.09038,29.3756,3.71187,1,12,152,33,13,34000
4,2,proposed,naive,74.9265,9.4719,80.2477,1.27488,0.617909,11.1032,74.159,14.9722,1,91,152,33,13,34000
4,2,proposed,mondrian,74.9265,9.4719,80.2477,1.23666,0.889631,2.09615,36.9603,5.67137,1,12,152,33,13,34000
4,2,b2,naive,74.95,9.99668,78.7374,1.12187,0.612534,11.5878,73.7519,15.7119,1,91,152,33,13,34000
4,2,b2,mondrian,74.95,9.99668,78.7374,1.14258,0.888511,1.95385,35.3141,5.53276,1,12,152,33,13,34000
5,0,proposed,naive,78.1654,7.75023,80.143,1.21661,0.631048,10.8231,77.3577,13.991,1,91,152,33,13,26000
5,0,proposed,mondrian,78.1654,7.75023,80.143,1.44769,0.814727,2.64615,47.5,5.57085,1,12,152,33,13,26000
5,0,b2,naive,76.6192,8.43755,80.0563,1.13976,0.630769,11.4115,76.2308,14.9697,1,91,152,33,13,26000
5,0,b2,mondrian,76.6192,8.43755,80.0563,1.40452,0.771812,3.98462,51.3462,7.7603,1,12,152,33,13,26000
5,1,proposed,naive,76.1769,8.47841,80.6029,1.19319,0.619073,12.8769,78.7846,16.3445,1,91,152,33,13,26000
5,1,proposed,mondrian,76.1769,8.47841,80.6029,1.4309,0.791289,3.43846,50.3154,6.83382,1,12,152,33,13,26000
