seed,missing_groups,calib_policy,deploy_policy,acc,crc_feasible,temperature,crc_threshold,crc_calibration_selection_stat,crc_heldout_empirical_joint_loss,crc_heldout_coverage,crc_heldout_selective_risk,exceeded_alpha,n_calib_units,n_eval_units
0,1,uniform,uniform,62.74,1,0.8953697312777454,0.6670928416906587,9.938948,14.709107,45.735339,32.16136,1,26,27
0,1,uniform,transmittance_weighted,61.722,1,0.8953697312777454,0.6670928416906587,9.938948,14.472894,45.817658,31.588026,1,26,27
0,1,transmittance_weighted,uniform,62.74,1,0.8814487171175807,0.6281244021114549,9.979186,17.02152,52.900518,32.176471,1,26,27
0,1,transmittance_weighted,transmittance_weighted,61.722,1,0.8814487171175807,0.6281244021114549,9.979186,16.996669,52.728578,32.234263,1,26,27
0,2,uniform,uniform,62.216,1,0.9244267922632436,0.6532585560759088,9.868781,12.733385,43.309345,29.401009,1,26,27
0,2,uniform,transmittance_weighted,57.882,1,0.9244267922632436,0.6532585560759088,9.868781,13.717216,44.19604,31.037205,1,26,27
0,2,transmittance_weighted,uniform,62.216,1,0.882286133712236,0.6899072395688314,9.987509,11.976601,40.751265,29.38952,1,26,27
0,2,transmittance_weighted,transmittance_weighted,57.882,1,0.882286133712236,0.6899072395688314,9.987509,13.085964,41.983399,31.169377,1,26,27
