missing_groups,b1_mean,b1_std,b2_mean,b2_std,b3_mean,b3_std,b4_mean,b4_std,b6_mean,b6_std,proposed_mean,proposed_std,n_seeds,epochs
0,58.14,0.00,47.92,0.00,58.14,0.00,36.83,0.00,51.83,0.00,51.55,0.00,1,12
1,41.32,0.00,45.47,0.00,23.72,0.00,36.86,0.00,46.01,0.00,49.06,0.00,1,12
2,31.17,0.00,42.48,0.00,11.15,0.00,36.54,0.00,40.34,0.00,46.40,0.00,1,12
3,24.54,0.00,38.97,0.00,6.02,0.00,35.87,0.00,35.02,0.00,43.10,0.00,1,12
4,19.75,0.00,34.85,0.00,3.59,0.00,34.78,0.00,29.92,0.00,38.91,0.00,1,12
5,15.65,0.00,30.42,0.00,2.30,0.00,33.15,0.00,24.98,0.00,33.71,0.00,1,12
6,11.87,0.00,25.64,0.00,1.58,0.00,30.79,0.00,19.97,0.00,27.38,0.00,1,12
