split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_source_units,n_target_units,n_eval_units,n_eval_px
9,6,b2,naive,73.9423,10.0648,79.5618,1.06301,0.624331,11.3923,72.2962,15.7578,1,91,152,33,13,26000
9,6,b2,mondrian,73.9423,10.0648,79.5618,1.35462,0.843713,1.57692,34.55,4.56418,1,12,152,33,13,26000
9,7,proposed,naive,74.6192,9.40577,80.4648,1.17994,0.642127,10.5423,71.0038,14.8475,1,91,152,33,13,26000
9,7,proposed,mondrian,74.6192,9.40577,80.4648,1.57587,0.785797,2.02692,40.6923,4.9811,1,12,152,33,13,26000
9,7,b2,naive,73.8115,10.4818,78.3879,1.11889,0.628096,11.6038,71.3615,16.2606,1,91,152,33,13,26000
9,7,b2,mondrian,73.8115,10.4818,78.3879,1.36182,0.822343,2.63846,39.2962,6.7143,1,12,152,33,13,26000
9,8,proposed,naive,76.3192,8.94333,79.4615,1.19733,0.649084,10.85,74.2808,14.6067,1,91,152,33,13,26000
9,8,proposed,mondrian,76.3192,8.94333,79.4615,1.45946,0.852756,2.05385,39.4192,5.21026,1,12,152,33,13,26000
9,8,b2,naive,74.1308,10.5681,78.1819,1.10328,0.641846,11.3346,71.5808,15.8347,1,91,152,33,13,26000
9,8,b2,mondrian,74.1308,10.5681,78.1819,1.29589,0.853314,2.93462,38.9154,7.54102,1,12,152,33,13,26000
9,9,proposed,naive,76.8423,8.2132,81.0273,1.19731,0.656729,8.40385,69.8462,12.0319,1,91,152,33,13,26000
9,9,proposed,mondrian,76.8423,8.2132,81.0273,1.41643,0.84396,1.34615,36.0462,3.73453,1,12,152,33,13,26000
9,9,b2,naive,75.0038,10.1639,78.3978,1.12098,0.623261,11.1077,72.8192,15.2538,1,91,152,33,13,26000
9,9,b2,mondrian,75.0038,10.1639,78.3978,1.37357,0.8397,2.43846,36.3038,6.71681,1,12,152,33,13,26000
