state,cls,iou,f1,pa,ua,joint,selective,coverage,support,oa,miou,macrof1
clean,clear,75.49981386997176,86.03976517708418,93.12850293740294,79.9538529323099,2.441758390168141,2.771645818003434,88.09777837801337,74045,78.86917808219178,52.712142298803464,66.79101728277064
clean,thick cloud,69.39642098877768,81.93375111906893,77.07509881422925,87.44617422987744,9.910618038088394,13.136665376715387,75.44241825368307,44528,78.86917808219178,52.712142298803464,66.79101728277064
clean,thin cloud,32.512022210103616,49.07029817800891,46.4283185840708,52.031101237702316,28.41061946902655,51.43552935144835,55.23539823008849,14125,78.86917808219178,52.712142298803464,66.79101728277064
clean,cloud shadow,33.44031212636083,50.12025465692055,39.94887986768907,67.24028849803872,35.69388061945572,56.12293144208038,63.59945872801083,13302,78.86917808219178,52.712142298803464,66.79101728277064
L2A,clear,62.25579087829747,76.73783541567822,98.29428050509826,62.93570841800338,0.6685123911135121,0.6874618076773513,97.24356810047944,74045,67.80342465753425,29.559097647160414,37.54915935873044
L2A,thick cloud,54.525821399366784,70.57179299302558,58.40145526410348,89.14981145011998,35.97960833632771,40.635621163699085,88.54204096298957,44528,67.80342465753425,29.559097647160414,37.54915935873044
L2A,thin cloud,0.5292479108635098,1.0529232474369632,0.5380530973451327,24.437299035369776,89.33097345132744,100.0,89.33097345132744,14125,67.80342465753425,29.559097647160414,37.54915935873044
L2A,cloud shadow,0.9255304001139114,1.8340857787810385,0.9772966471207338,14.874141876430205,93.71523079236205,99.86381478811182,93.84303112313937,13302,67.80342465753425,29.559097647160414,37.54915935873044
