method,missing_groups,acc,acc_std,acc_n,aurc,aurc_std,aurc_n,augrc,augrc_std,augrc_n,auroc,auroc_std,auroc_n,plugin_coverage,plugin_coverage_std,plugin_coverage_n,plugin_cond_risk,plugin_cond_risk_std,plugin_cond_risk_n,crc_calib_bound,crc_calib_bound_std,crc_calib_bound_n,crc_eval_joint_risk,crc_eval_joint_risk_std,crc_eval_joint_risk_n,crc_coverage,crc_coverage_std,crc_coverage_n,crc_sel_risk,crc_sel_risk_std,crc_sel_risk_n,crc_feasible,crc_feasible_std,crc_feasible_n,crc_units,crc_units_std,crc_units_n,crc_positive_coverage,crc_positive_coverage_std,crc_positive_coverage_n,crcmask_calib_bound,crcmask_calib_bound_std,crcmask_calib_bound_n,crcmask_eval_joint_risk,crcmask_eval_joint_risk_std,crcmask_eval_joint_risk_n,crcmask_coverage,crcmask_coverage_std,crcmask_coverage_n,crcmask_sel_risk,crcmask_sel_risk_std,crcmask_sel_risk_n,crcmask_feasible,crcmask_feasible_std,crcmask_feasible_n,crcmask_units,crcmask_units_std,crcmask_units_n,crcmask_alpha_floor,crcmask_alpha_floor_std,crcmask_alpha_floor_n,crcmask_positive_coverage,crcmask_positive_coverage_std,crcmask_positive_coverage_n,temperature,temperature_std,temperature_n,plugin_neff,plugin_neff_std,plugin_neff_n,plugin_icc,plugin_icc_std,plugin_icc_n,plugin_eff_target,plugin_eff_target_std,plugin_eff_target_n,plugin_positive_coverage,plugin_positive_coverage_std,plugin_positive_coverage_n,plugin_degenerate,plugin_degenerate_std,plugin_degenerate_n,mask_acc_worst,mask_acc_worst_std,mask_acc_worst_n,mask_acc_median,mask_acc_median_std,mask_acc_median_n,mask_acc_p05,mask_acc_p05_std,mask_acc_p05_n,mask_cov_worst,mask_cov_worst_std,mask_cov_worst_n,mask_sel_risk_worst,mask_sel_risk_worst_std,mask_sel_risk_worst_n,mask_sel_risk_median,mask_sel_risk_median_std,mask_sel_risk_median_n,cls_cov_min,cls_cov_min_std,cls_cov_min_n,cls_cov_macro,cls_cov_macro_std,cls_cov_macro_n,cls_zero_cov_n,cls_zero_cov_n_std,cls_zero_cov_n_n,cls_sel_risk_max,cls_sel_risk_max_std,cls_sel_risk_max_n,cls_sel_risk_macro,cls_sel_risk_macro_std,cls_sel_risk_macro_n,crc_eval_joint_risk_oper,crc_coverage_oper
b2,3,73.00,4.54,5,12.46,3.51,5,8.31,2.15,5,76.83,2.83,5,37.55,19.69,5,10.15,6.34,5,9.94,0.04,5,8.26,3.24,5,57.37,8.69,5,13.83,4.21,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.95,0.06,5,9.61,3.90,5,62.16,4.87,5,15.13,5.64,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.28,0.09,5,49.00,25.74,5,0.26,0.05,5,4.95,2.01,5,1.00,0.00,5,0.00,0.00,5,61.90,4.21,5,73.71,5.07,5,66.27,3.31,5,45.07,10.12,5,23.43,7.27,5,13.36,5.63,5,22.41,9.21,5,57.23,7.36,5,0.00,0.00,5,82.80,10.89,5,23.76,4.69,5,8.26,57.37
b2,4,67.62,4.31,5,16.69,3.86,5,10.88,2.24,5,74.58,2.56,5,23.40,14.36,5,10.14,6.10,5,9.94,0.05,5,8.28,2.90,5,48.98,7.41,5,16.35,4.14,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.88,0.02,5,9.03,2.97,5,52.86,3.95,5,16.98,5.61,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.31,0.10,5,38.00,20.07,5,0.23,0.04,5,4.41,1.88,5,1.00,0.00,5,0.00,0.00,5,48.56,4.77,5,68.95,5.09,5,55.78,3.25,5,32.89,8.29,5,37.43,13.26,5,15.55,5.51,5,19.70,8.79,5,49.06,6.44,5,0.00,0.00,5,84.24,15.13,5,26.74,4.53,5,8.28,48.98
b2,5,59.88,5.36,5,24.67,5.39,5,15.23,2.95,5,70.46,2.55,5,6.22,7.22,5,7.07,5.03,4,9.90,0.03,5,7.65,2.76,5,35.44,6.83,5,20.84,5.30,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.90,0.03,5,9.07,3.35,5,39.05,6.81,5,22.93,6.92,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.44,0.10,5,21.40,14.05,5,0.17,0.02,5,2.70,2.16,5,0.80,0.40,5,0.20,0.40,5,43.96,6.57,5,60.66,6.08,5,46.97,7.25,5,20.19,5.93,5,45.45,15.53,5,20.62,7.32,5,12.92,7.21,5,35.64,4.56,5,0.00,0.00,5,87.94,12.85,5,31.74,8.30,5,7.65,35.44
b2,6,47.57,3.12,5,39.68,2.79,5,22.62,1.54,5,64.47,0.81,5,0.00,0.00,5,,,0,9.89,0.05,5,6.43,1.62,5,20.18,3.66,5,31.56,2.60,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.92,0.06,5,6.36,1.21,5,20.92,3.37,5,30.47,3.23,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.58,0.10,5,2.80,1.83,5,0.13,0.03,5,0.00,0.00,5,0.00,0.00,5,1.00,0.00,5,26.98,6.74,5,47.12,2.97,5,31.71,5.76,5,6.72,1.71,5,76.89,10.05,5,30.82,5.19,5,4.31,2.54,5,20.36,1.50,5,0.20,0.40,5,92.42,6.70,5,40.92,6.94,5,6.43,20.18
b2m,0,81.53,3.81,5,6.92,2.03,5,4.78,1.43,5,80.21,2.73,5,61.64,21.94,5,8.73,5.20,5,9.80,0.20,5,7.98,4.00,5,73.28,7.06,5,10.46,4.58,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1.51,0.13,5,65.00,16.78,5,0.28,0.06,5,6.18,0.49,5,1.00,0.00,5,0.00,0.00,5,81.53,3.81,5,81.53,3.81,5,81.53,3.81,5,73.98,5.91,5,9.95,4.88,5,9.95,4.88,5,30.60,18.35,5,73.64,7.37,5,0.20,0.40,5,69.73,24.69,5,14.75,5.64,5,7.98,73.28
b2m,1,79.89,4.05,5,7.64,2.11,5,5.31,1.51,5,80.06,2.51,5,56.49,21.62,5,9.01,4.92,5,9.96,0.03,5,7.82,3.40,5,69.65,6.19,5,10.87,4.16,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.95,0.04,5,8.65,3.82,5,75.03,4.77,5,11.29,4.63,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.42,0.11,5,62.80,19.45,5,0.29,0.05,5,6.07,0.62,5,1.00,0.00,5,0.00,0.00,5,74.90,5.40,5,80.37,4.08,5,75.60,5.24,5,65.83,5.09,5,14.06,5.99,5,10.37,4.76,5,30.68,12.44,5,70.13,6.59,5,0.00,0.00,5,69.34,23.19,5,16.29,4.87,5,7.82,69.65
b2m,2,77.04,4.80,5,9.22,2.92,5,6.38,1.96,5,79.49,2.76,5,47.63,18.42,5,8.85,5.23,5,9.88,0.06,5,7.72,3.09,5,63.94,5.32,5,11.76,4.08,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.97,0.01,5,8.45,3.50,5,69.95,3.80,5,11.93,4.73,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.31,0.09,5,56.80,22.42,5,0.29,0.06,5,5.82,0.69,5,1.00,0.00,5,0.00,0.00,5,68.04,7.45,5,77.58,4.94,5,71.10,5.84,5,56.35,6.63,5,18.26,8.08,5,11.20,4.76,5,30.41,7.20,5,64.82,5.38,5,0.00,0.00,5,73.69,19.45,5,19.34,5.29,5,7.72,63.94
b2m,3,75.41,4.41,5,10.41,2.92,5,7.11,1.91,5,78.42,2.39,5,40.63,19.84,5,8.83,5.29,5,9.98,0.02,5,7.65,3.02,5,60.16,6.82,5,12.30,4.00,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.95,0.05,5,8.88,3.64,5,65.23,4.50,5,13.44,5.28,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.24,0.07,5,54.20,25.03,5,0.26,0.06,5,5.60,0.98,5,1.00,0.00,5,0.00,0.00,5,66.75,3.02,5,75.81,4.93,5,69.05,3.45,5,50.50,9.69,5,18.96,5.97,5,11.66,4.71,5,27.57,8.64,5,60.06,6.91,5,0.00,0.00,5,70.30,19.90,5,19.74,4.61,5,7.65,60.16
b2m,4,71.59,5.07,5,13.39,3.82,5,8.92,2.36,5,76.50,2.66,5,28.21,16.92,5,8.56,4.80,5,9.95,0.04,5,7.50,2.77,5,52.85,6.46,5,13.78,4.15,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.92,0.02,5,8.17,3.05,5,57.10,5.05,5,14.27,5.37,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.21,0.08,5,41.00,19.85,5,0.26,0.06,5,4.85,1.29,5,1.00,0.00,5,0.00,0.00,5,57.22,7.72,5,72.58,5.17,5,63.60,5.64,5,41.45,5.90,5,28.54,12.17,5,12.97,4.50,5,23.31,7.31,5,52.33,5.39,5,0.00,0.00,5,71.38,15.86,5,22.34,4.88,5,7.50,52.85
b2m,5,65.19,5.44,5,18.95,4.70,5,12.10,2.73,5,73.83,2.25,5,13.55,11.44,5,8.34,4.64,4,9.92,0.04,5,7.11,2.75,5,41.37,6.75,5,16.55,4.62,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.91,0.03,5,8.53,3.50,5,45.94,5.59,5,18.18,6.61,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.21,0.07,5,28.60,16.48,5,0.22,0.03,5,3.52,2.20,5,0.80,0.40,5,0.20,0.40,5,53.16,6.57,5,65.72,5.58,5,55.09,6.60,5,27.80,5.53,5,33.21,8.00,5,16.53,5.83,5,15.88,9.03,5,40.08,4.43,5,0.00,0.00,5,81.91,10.49,5,27.88,5.23,5,7.11,41.37
b2m,6,55.31,3.58,5,29.11,3.71,5,17.62,2.01,5,69.24,1.50,5,0.73,1.29,5,3.45,2.64,2,9.90,0.03,5,6.81,2.41,5,29.20,5.79,5,22.64,4.58,5,1.00,0.00,5,26.60,0.49,5,1.00,0.00,5,9.92,0.05,5,7.27,2.22,5,31.61,5.55,5,22.63,4.87,5,1.00,0.00,5,32.00,0.00,5,3.03,0.00,5,1.00,0.00,5,1.27,0.09,5,8.40,7.14,5,0.17,0.03,5,1.06,1.34,5,0.40,0.49,5,0.60,0.49,5,37.42,5.12,5,55.01,2.95,5,42.52,5.29,5,12.65,3.33,5,54.89,12.55,5,22.54,4.86,5,10.68,5.75,5,28.60,4.17,5,0.00,0.00,5,91.30,10.76,5,35.52,4.60,5,6.81,29.20
