state,arm,n_cells,joint_ce_mean,joint_pp_mean,cov_ce_mean,cov_pp_mean,sel_ce_mean,sel_pp_mean,acc_ce_mean,acc_pixel_mean,joint_ce_se,joint_pp_se,cov_ce_se,cov_pp_se,sel_ce_se,sel_pp_se,acc_ce_se,acc_pixel_se
clean,naive,100,8.535087560386474,8.538560150844745,76.3542868357488,76.1547937120871,11.164464265135882,11.199155824995668,79.80325241545894,79.64748136740855,0.24593633073985965,0.2382191737532201,0.37231396114700793,0.35675846480662526,0.2692252254016585,0.2617213105022908,0.15399148742606072,0.1503358269029883
clean,mondrian,100,8.535087560386474,8.538560150844745,76.3542868357488,76.1547937120871,11.164464265135882,11.199155824995668,79.80325241545894,79.64748136740855,0.24593633073985965,0.2382191737532201,0.37231396114700793,0.35675846480662526,0.2692252254016585,0.2617213105022908,0.15399148742606072,0.1503358269029883
L2A,naive,100,29.08083393719807,29.04380602355232,93.80262016908213,93.72638831253859,30.99572351797817,30.9811760664006,67.33221376811593,67.32677083502195,0.678729565479814,0.6786207801891749,0.4099159979094945,0.4184505071765457,0.6807918027980906,0.6792563322988956,0.6114757018846203,0.6061998891543728
L2A,mondrian,100,8.62447463768116,8.492823410388379,44.06793538647343,43.621748449526216,19.919018618450803,19.802119868479203,67.33221376811593,67.32677083502195,0.21764112568265473,0.2330746678963552,2.0397150030752584,2.020660907795537,0.9206766614692038,0.9094286059163512,0.6114757018846203,0.6061998891543728
