arm,seed,split,joint
src_weighted,9,9,0.0
ren_uniform,0,0,0.0
ren_uniform,0,1,0.0
ren_uniform,0,2,0.0
ren_uniform,0,3,0.0
ren_uniform,0,4,0.0
ren_uniform,0,5,0.0
ren_uniform,0,6,0.0
ren_uniform,0,7,0.0
ren_uniform,0,8,0.0
ren_uniform,0,9,0.0
ren_uniform,1,0,0.0
ren_uniform,1,1,0.0
ren_uniform,1,2,0.0
ren_uniform,1,3,0.0
ren_uniform,1,4,0.0
ren_uniform,1,5,0.0
ren_uniform,1,6,0.0
ren_uniform,1,7,0.0
ren_uniform,1,8,0.0
ren_uniform,1,9,0.0
ren_uniform,2,0,0.0
ren_uniform,2,1,0.0
ren_uniform,2,2,0.0
ren_uniform,2,3,0.0
ren_uniform,2,4,0.0
ren_uniform,2,5,0.0
ren_uniform,2,6,0.0
ren_uniform,2,7,0.0
ren_uniform,2,8,0.0
ren_uniform,2,9,0.0
ren_uniform,3,0,0.0
ren_uniform,3,1,0.0
ren_uniform,3,2,0.0
ren_uniform,3,3,0.0
ren_uniform,3,4,0.0
ren_uniform,3,5,0.0
ren_uniform,3,6,0.0
ren_uniform,3,7,0.0
ren_uniform,3,8,0.0
ren_uniform,3,9,0.0
ren_uniform,4,0,0.0
ren_uniform,4,1,0.0
ren_uniform,4,2,0.0
ren_uniform,4,3,0.0
ren_uniform,4,4,0.0
ren_uniform,4,5,0.0
ren_uniform,4,6,0.0
ren_uniform,4,7,0.0
ren_uniform,4,8,0.0
ren_uniform,4,9,0.0
ren_uniform,5,0,0.0
ren_uniform,5,1,0.0
ren_uniform,5,2,0.0
ren_uniform,5,3,0.0
ren_uniform,5,4,0.0
ren_uniform,5,5,0.0
ren_uniform,5,6,0.0
ren_uniform,5,7,0.0
ren_uniform,5,8,0.0
ren_uniform,5,9,0.0
ren_uniform,6,0,0.0
ren_uniform,6,1,0.0
ren_uniform,6,2,0.0
ren_uniform,6,3,0.0
ren_uniform,6,4,0.0
ren_uniform,6,5,0.0
ren_uniform,6,6,0.0
ren_uniform,6,7,0.0
ren_uniform,6,8,0.0
ren_uniform,6,9,0.0
ren_uniform,7,0,0.0
ren_uniform,7,1,0.0
ren_uniform,7,2,0.0
ren_uniform,7,3,0.0
ren_uniform,7,4,0.0
ren_uniform,7,5,0.0
ren_uniform,7,6,0.0
ren_uniform,7,7,0.0
ren_uniform,7,8,0.0
