seed,method,missing_groups,metric,value
0,proposed,4,crcmask_alpha_floor,3.0303
0,proposed,5,crcmask_alpha_floor,3.0303
0,proposed,6,crcmask_alpha_floor,3.0303
0,proposed,0,crcmask_positive_coverage,nan
0,proposed,1,crcmask_positive_coverage,1
0,proposed,2,crcmask_positive_coverage,1
0,proposed,3,crcmask_positive_coverage,1
0,proposed,4,crcmask_positive_coverage,1
0,proposed,5,crcmask_positive_coverage,1
0,proposed,6,crcmask_positive_coverage,1
0,proposed,0,temperature,1.4424
0,proposed,1,temperature,1.44157
0,proposed,2,temperature,1.43955
0,proposed,3,temperature,1.45094
0,proposed,4,temperature,1.51083
0,proposed,5,temperature,1.6466
0,proposed,6,temperature,1.92958
0,proposed,0,plugin_neff,132
0,proposed,1,plugin_neff,124
0,proposed,2,plugin_neff,112
0,proposed,3,plugin_neff,102
0,proposed,4,plugin_neff,73
0,proposed,5,plugin_neff,49
0,proposed,6,plugin_neff,12
0,proposed,0,plugin_icc,0.159853
0,proposed,1,plugin_icc,0.179701
0,proposed,2,plugin_icc,0.181918
0,proposed,3,plugin_icc,0.186865
0,proposed,4,plugin_icc,0.188097
0,proposed,5,plugin_icc,0.166454
0,proposed,6,plugin_icc,0.146711
0,proposed,0,plugin_eff_target,7.3855
0,proposed,1,plugin_eff_target,7.30816
0,proposed,2,plugin_eff_target,7.16489
0,proposed,3,plugin_eff_target,7.02342
0,proposed,4,plugin_eff_target,6.50041
0,proposed,5,plugin_eff_target,5.69553
0,proposed,6,plugin_eff_target,1.22573
0,proposed,0,plugin_positive_coverage,1
0,proposed,1,plugin_positive_coverage,1
0,proposed,2,plugin_positive_coverage,1
0,proposed,3,plugin_positive_coverage,1
0,proposed,4,plugin_positive_coverage,1
0,proposed,5,plugin_positive_coverage,1
0,proposed,6,plugin_positive_coverage,1
0,proposed,0,plugin_degenerate,0
0,proposed,1,plugin_degenerate,0
0,proposed,2,plugin_degenerate,0
0,proposed,3,plugin_degenerate,0
0,proposed,4,plugin_degenerate,0
0,proposed,5,plugin_degenerate,0
0,proposed,6,plugin_degenerate,0
0,proposed,0,mask_acc_worst,76.2224
0,proposed,1,mask_acc_worst,73.8255
0,proposed,2,mask_acc_worst,68.0729
0,proposed,3,mask_acc_worst,65.0048
0,proposed,4,mask_acc_worst,34.7076
0,proposed,5,mask_acc_worst,32.2148
0,proposed,6,mask_acc_worst,23.4899
0,proposed,0,mask_acc_median,76.2224
0,proposed,1,mask_acc_median,74.976
0,proposed,2,mask_acc_median,74.1131
0,proposed,3,mask_acc_median,72.675
0,proposed,4,mask_acc_median,67.977
0,proposed,5,mask_acc_median,61.7929
0,proposed,6,mask_acc_median,52.5407
0,proposed,0,mask_acc_p05,76.2224
0,proposed,1,mask_acc_p05,73.8255
0,proposed,2,mask_acc_p05,69.2857
0,proposed,3,mask_acc_p05,66.3854
0,proposed,4,mask_acc_p05,57.6942
0,proposed,5,mask_acc_p05,45.906
0,proposed,6,mask_acc_p05,27.0997
0,proposed,0,mask_cov_worst,85.906
0,proposed,1,mask_cov_worst,81.4957
0,proposed,2,mask_cov_worst,72.2915
0,proposed,3,mask_cov_worst,64.046
0,proposed,4,mask_cov_worst,45.7335
0,proposed,5,mask_cov_worst,30.9684
0,proposed,6,mask_cov_worst,14.3816
0,proposed,0,mask_sel_risk_worst,17.1875
0,proposed,1,mask_sel_risk_worst,18.9412
0,proposed,2,mask_sel_risk_worst,20.1571
0,proposed,3,mask_sel_risk_worst,21.9336
0,proposed,4,mask_sel_risk_worst,67.1406
0,proposed,5,mask_sel_risk_worst,72.5092
