missing_groups,b1_mean,b1_std,b2_mean,b2_std,b3_mean,b3_std,proposed_mean,proposed_std
0,94.76,0.38,93.78,0.32,94.76,0.38,94.29,0.24
1,39.95,1.98,93.15,0.37,28.41,1.05,93.71,0.23
2,23.49,1.93,92.24,0.39,8.90,0.49,92.82,0.23
3,15.70,1.53,90.74,0.39,4.15,0.38,91.30,0.35
4,11.22,1.17,86.79,0.59,2.67,0.35,88.03,0.61
5,8.53,0.90,76.33,1.09,1.98,0.35,80.89,1.02
6,6.74,0.59,57.28,1.57,1.47,0.31,67.63,1.26
