kind,seed,missing_groups,miou
drop,5,0,56.06907349297521
drop,5,1,54.96342067252533
drop,5,1,53.4112640373194
drop,5,1,54.73649029968026
drop,5,1,55.088460603505084
drop,5,1,54.85374824399369
drop,5,1,52.1699411420933
drop,5,1,52.38887842434898
drop,5,2,50.56822816190828
drop,5,2,53.7309900407168
drop,5,2,53.43296621177143
drop,5,2,53.71240551917216
drop,5,2,51.21816939958567
drop,5,2,51.05598813732484
drop,5,2,51.53352712722612
drop,5,2,51.85763875037556
drop,5,2,51.697062559350215
drop,5,2,49.354833795876424
drop,5,2,49.556468737802575
drop,5,2,53.291402158576226
drop,5,2,53.086534256383445
drop,5,2,50.48919532075475
drop,5,2,50.67189983374424
drop,5,2,53.40684493546409
drop,5,2,51.32914239075173
drop,5,2,50.44232369677033
drop,5,2,50.563529866602494
drop,5,2,50.86289660697118
drop,5,2,47.09586921923725
drop,5,3,47.44239591182961
drop,5,3,48.66577846891115
drop,5,3,47.94927252753477
drop,5,3,45.42386408878454
drop,5,3,44.02703334486246
drop,5,3,51.343982768317154
drop,5,3,52.04305292347128
drop,5,3,49.38104048032254
drop,5,3,48.9006712952491
drop,5,3,51.885255381476824
drop,5,3,49.74943081088738
drop,5,3,47.947716798476144
drop,5,3,49.71424640477046
drop,5,3,49.199861822215254
drop,5,3,45.74675260406818
drop,5,3,49.913396903966515
drop,5,3,49.4514968672288
drop,5,3,46.976056210737326
drop,5,3,45.700155030758644
drop,5,3,50.05272208364239
drop,5,3,47.760401228523406
drop,5,3,47.34957307288647
drop,5,3,46.93274136791554
drop,5,3,47.154846388958006
drop,5,3,43.11696408840549
drop,5,3,50.1879247555285
drop,5,3,49.1154160016418
drop,5,3,46.56446334307693
drop,5,3,48.08516617932598
drop,5,3,48.59133028503762
drop,5,3,45.48711482447146
drop,5,3,49.226317994739276
drop,5,3,49.06470287087854
drop,5,3,45.40983162286305
drop,5,3,45.17397852776853
drop,5,4,36.65016455665413
drop,5,4,40.6642366198118
drop,5,4,39.21065418095984
drop,5,4,38.216777266305115
drop,5,4,45.99141644858664
drop,5,4,44.386565757913566
drop,5,4,38.136386569960415
drop,5,4,41.70872435381091
drop,5,4,40.47048752034827
drop,5,4,35.22821903220031
drop,5,4,47.8598658984123
drop,5,4,46.937690674632556
drop,5,4,41.82341849371231
drop,5,4,46.83115373522108
drop,5,4,46.12866917625594
drop,5,4,43.78359638865817
drop,5,4,47.90357990599098
drop,5,4,46.05992739384948
drop,5,4,42.55328671154255
drop,5,4,42.71638562476381
drop,5,4,45.08253339798546
drop,5,4,44.298634003073424
drop,5,4,28.53082876679695
drop,5,4,43.161425958773215
drop,5,4,42.570812517823434
drop,5,4,38.569350023024626
drop,5,4,44.410972364897226
drop,5,4,44.77656346920712
drop,5,4,40.707412070738634
drop,5,4,40.16726638451405
drop,5,4,44.356482819951935
drop,5,4,42.43204781376303
drop,5,4,41.61778649368804
drop,5,4,42.85368817055891
drop,5,4,43.68611964051055
drop,5,5,24.509123319238913
drop,5,5,31.39192041039144
drop,5,5,19.926342387047963
drop,5,5,30.50871518105291
drop,5,5,31.92364535186705
drop,5,5,26.89198346367785
drop,5,5,38.5978485297343
drop,5,5,31.514298630782967
